LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
55m         Normal    Pulled              pod/client-pod                         Successfully pulled image "busybox:1.37" in 15.207s (15.207s including waiting). Image size: 2222111 bytes.
49m         Normal    Killing             pod/web-pod                            Stopping container web
40m         Normal    Scheduled           pod/web-deployment-5d8696bcfb-t6cgj    Successfully assigned dso202-practical-01/web-deployment-5d8696bcfb-t6cgj to worker-node-2
40m         Normal    SuccessfulCreate    replicaset/web-deployment-5d8696bcfb   Created pod: web-deployment-5d8696bcfb-t6cgj
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-5d8696bcfb from 0 to 1
40m         Normal    Pulled              pod/web-deployment-5d8696bcfb-t6cgj    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
40m         Normal    Created             pod/web-deployment-5d8696bcfb-t6cgj    Container created
40m         Normal    Started             pod/web-deployment-5d8696bcfb-t6cgj    Container started
40m         Normal    Started             pod/web-deployment-5d8696bcfb-h7f9j    Container started
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-5d8696bcfb from 1 to 2
40m         Normal    Killing             pod/web-deployment-76ddf5fcf9-6rjn8    Stopping container web
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 3 to 2
40m         Normal    SuccessfulCreate    replicaset/web-deployment-5d8696bcfb   Created pod: web-deployment-5d8696bcfb-h7f9j
40m         Normal    Created             pod/web-deployment-5d8696bcfb-h7f9j    Container created
40m         Normal    Pulled              pod/web-deployment-5d8696bcfb-h7f9j    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
40m         Normal    Scheduled           pod/web-deployment-5d8696bcfb-h7f9j    Successfully assigned dso202-practical-01/web-deployment-5d8696bcfb-h7f9j to worker-node-1
40m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-6rjn8
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-5d8696bcfb from 2 to 3
40m         Normal    Created             pod/web-deployment-5d8696bcfb-qtjl4    Container created
40m         Normal    Pulled              pod/web-deployment-5d8696bcfb-qtjl4    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
40m         Normal    Started             pod/web-deployment-5d8696bcfb-qtjl4    Container started
40m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled down replica set web-deployment-76ddf5fcf9 from 2 to 1
40m         Normal    Scheduled           pod/web-deployment-5d8696bcfb-qtjl4    Successfully assigned dso202-practical-01/web-deployment-5d8696bcfb-qtjl4 to worker-node-2
40m         Normal    SuccessfulDelete    replicaset/web-deployment-76ddf5fcf9   Deleted pod: web-deployment-76ddf5fcf9-bfzjx
40m         Normal    SuccessfulCreate    replicaset/web-deployment-5d8696bcfb   Created pod: web-deployment-5d8696bcfb-qtjl4
